algoritmo,n,patron,repeticion,tiempo_us,comparaciones,intercambios

Insercion Binaria,10000,Aleatorio,1,62471,118938,25058436
Insercion Binaria,10000,Aleatorio,2,56511,118938,25058436
Insercion Binaria,10000,Aleatorio,3,54959,118938,25058436
Insercion Binaria,10000,Aleatorio,4,53987,118938,25058436
Insercion Binaria,10000,Aleatorio,5,54079,118938,25058436
Insercion Binaria,10000,Aleatorio,6,53798,118938,25058436
Insercion Binaria,10000,Aleatorio,7,53634,118938,25058436
Insercion Binaria,10000,Aleatorio,8,53483,118938,25058436
Insercion Binaria,10000,Aleatorio,9,53713,118938,25058436
Insercion Binaria,10000,Aleatorio,10,54618,118938,25058436
Insercion Binaria,10000,Aleatorio,11,63467,118938,25058436
Insercion Binaria,10000,Aleatorio,12,61457,118938,25058436
Insercion Binaria,10000,Aleatorio,13,60625,118938,25058436
Insercion Binaria,10000,Aleatorio,14,54168,118938,25058436
Insercion Binaria,10000,Aleatorio,15,53981,118938,25058436
Insercion Binaria,10000,Aleatorio,16,53590,118938,25058436
Insercion Binaria,10000,Aleatorio,17,53680,118938,25058436
Insercion Binaria,10000,Aleatorio,18,56777,118938,25058436
Insercion Binaria,10000,Aleatorio,19,57390,118938,25058436
Insercion Binaria,10000,Aleatorio,20,77814,118938,25058436
Insercion Binaria,10000,Aleatorio,21,73883,118938,25058436
Insercion Binaria,10000,Aleatorio,22,61548,118938,25058436
Insercion Binaria,10000,Aleatorio,23,55590,118938,25058436
Insercion Binaria,10000,Aleatorio,24,59325,118938,25058436
Insercion Binaria,10000,Aleatorio,25,54909,118938,25058436
Insercion Binaria,10000,Aleatorio,26,53566,118938,25058436
Insercion Binaria,10000,Aleatorio,27,55195,118938,25058436
Insercion Binaria,10000,Aleatorio,28,53896,118938,25058436
Insercion Binaria,10000,Aleatorio,29,57192,118938,25058436
Insercion Binaria,10000,Aleatorio,30,56894,118938,25058436

Radix sort,10000,Aleatorio,1,772,60004,100000
Radix sort,10000,Aleatorio,2,376,60004,100000
Radix sort,10000,Aleatorio,3,347,60004,100000
Radix sort,10000,Aleatorio,4,348,60004,100000
Radix sort,10000,Aleatorio,5,354,60004,100000
Radix sort,10000,Aleatorio,6,422,60004,100000
Radix sort,10000,Aleatorio,7,348,60004,100000
Radix sort,10000,Aleatorio,8,416,60004,100000
Radix sort,10000,Aleatorio,9,347,60004,100000
Radix sort,10000,Aleatorio,10,348,60004,100000
Radix sort,10000,Aleatorio,11,348,60004,100000
Radix sort,10000,Aleatorio,12,361,60004,100000
Radix sort,10000,Aleatorio,13,348,60004,100000
Radix sort,10000,Aleatorio,14,375,60004,100000
Radix sort,10000,Aleatorio,15,347,60004,100000
Radix sort,10000,Aleatorio,16,348,60004,100000
Radix sort,10000,Aleatorio,17,378,60004,100000
Radix sort,10000,Aleatorio,18,348,60004,100000
Radix sort,10000,Aleatorio,19,418,60004,100000
Radix sort,10000,Aleatorio,20,422,60004,100000
Radix sort,10000,Aleatorio,21,413,60004,100000
Radix sort,10000,Aleatorio,22,411,60004,100000
Radix sort,10000,Aleatorio,23,352,60004,100000
Radix sort,10000,Aleatorio,24,348,60004,100000
Radix sort,10000,Aleatorio,25,380,60004,100000
Radix sort,10000,Aleatorio,26,348,60004,100000
Radix sort,10000,Aleatorio,27,348,60004,100000
Radix sort,10000,Aleatorio,28,348,60004,100000
Radix sort,10000,Aleatorio,29,348,60004,100000
Radix sort,10000,Aleatorio,30,354,60004,100000
