algoritmo,n,patron,repeticion,tiempo_us,comparaciones,intercambios

Insercion Binaria,10000,OrdernadoAscendente,1,263,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,2,499,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,3,500,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,4,490,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,5,503,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,6,501,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,7,499,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,8,497,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,9,261,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,10,1297,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,11,490,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,12,498,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,13,514,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,14,5983,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,15,286,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,16,476,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,17,515,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,18,259,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,19,1363,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,20,510,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,21,643,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,22,516,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,23,503,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,24,511,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,25,3056,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,26,488,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,27,499,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,28,529,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,29,578,123617,9999
Insercion Binaria,10000,OrdernadoAscendente,30,512,123617,9999

Radix sort,10000,OrdernadoAscendente,1,726,60004,100000
Radix sort,10000,OrdernadoAscendente,2,347,60004,100000
Radix sort,10000,OrdernadoAscendente,3,351,60004,100000
Radix sort,10000,OrdernadoAscendente,4,349,60004,100000
Radix sort,10000,OrdernadoAscendente,5,353,60004,100000
Radix sort,10000,OrdernadoAscendente,6,359,60004,100000
Radix sort,10000,OrdernadoAscendente,7,367,60004,100000
Radix sort,10000,OrdernadoAscendente,8,348,60004,100000
Radix sort,10000,OrdernadoAscendente,9,347,60004,100000
Radix sort,10000,OrdernadoAscendente,10,1058,60004,100000
Radix sort,10000,OrdernadoAscendente,11,350,60004,100000
Radix sort,10000,OrdernadoAscendente,12,349,60004,100000
Radix sort,10000,OrdernadoAscendente,13,349,60004,100000
Radix sort,10000,OrdernadoAscendente,14,349,60004,100000
Radix sort,10000,OrdernadoAscendente,15,347,60004,100000
Radix sort,10000,OrdernadoAscendente,16,595,60004,100000
Radix sort,10000,OrdernadoAscendente,17,358,60004,100000
Radix sort,10000,OrdernadoAscendente,18,344,60004,100000
Radix sort,10000,OrdernadoAscendente,19,359,60004,100000
Radix sort,10000,OrdernadoAscendente,20,353,60004,100000
Radix sort,10000,OrdernadoAscendente,21,352,60004,100000
Radix sort,10000,OrdernadoAscendente,22,354,60004,100000
Radix sort,10000,OrdernadoAscendente,23,348,60004,100000
Radix sort,10000,OrdernadoAscendente,24,348,60004,100000
Radix sort,10000,OrdernadoAscendente,25,360,60004,100000
Radix sort,10000,OrdernadoAscendente,26,362,60004,100000
Radix sort,10000,OrdernadoAscendente,27,362,60004,100000
Radix sort,10000,OrdernadoAscendente,28,351,60004,100000
Radix sort,10000,OrdernadoAscendente,29,362,60004,100000
Radix sort,10000,OrdernadoAscendente,30,364,60004,100000
