algoritmo,n,patron,repeticion,tiempo_us,comparaciones,intercambios

Insercion Binaria,10000,OrdernadoDescendente,1,180239,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,2,154489,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,3,135153,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,4,210113,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,5,146792,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,6,140684,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,7,292730,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,8,205054,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,9,167643,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,10,156893,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,11,200749,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,12,164731,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,13,153405,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,14,147879,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,15,145438,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,16,153754,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,17,157620,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,18,154650,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,19,153731,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,20,317509,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,21,335230,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,22,239197,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,23,219250,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,24,205538,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,25,178426,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,26,167895,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,27,240451,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,28,208798,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,29,239525,113631,50004999
Insercion Binaria,10000,OrdernadoDescendente,30,206852,113631,50004999

Radix sort,10000,OrdernadoDescendente,1,747,60004,100000
Radix sort,10000,OrdernadoDescendente,2,345,60004,100000
Radix sort,10000,OrdernadoDescendente,3,345,60004,100000
Radix sort,10000,OrdernadoDescendente,4,350,60004,100000
Radix sort,10000,OrdernadoDescendente,5,343,60004,100000
Radix sort,10000,OrdernadoDescendente,6,343,60004,100000
Radix sort,10000,OrdernadoDescendente,7,352,60004,100000
Radix sort,10000,OrdernadoDescendente,8,1191,60004,100000
Radix sort,10000,OrdernadoDescendente,9,457,60004,100000
Radix sort,10000,OrdernadoDescendente,10,360,60004,100000
Radix sort,10000,OrdernadoDescendente,11,347,60004,100000
Radix sort,10000,OrdernadoDescendente,12,347,60004,100000
Radix sort,10000,OrdernadoDescendente,13,344,60004,100000
Radix sort,10000,OrdernadoDescendente,14,343,60004,100000
Radix sort,10000,OrdernadoDescendente,15,604,60004,100000
Radix sort,10000,OrdernadoDescendente,16,355,60004,100000
Radix sort,10000,OrdernadoDescendente,17,6635,60004,100000
Radix sort,10000,OrdernadoDescendente,18,346,60004,100000
Radix sort,10000,OrdernadoDescendente,19,361,60004,100000
Radix sort,10000,OrdernadoDescendente,20,345,60004,100000
Radix sort,10000,OrdernadoDescendente,21,359,60004,100000
Radix sort,10000,OrdernadoDescendente,22,352,60004,100000
Radix sort,10000,OrdernadoDescendente,23,353,60004,100000
Radix sort,10000,OrdernadoDescendente,24,3093,60004,100000
Radix sort,10000,OrdernadoDescendente,25,348,60004,100000
Radix sort,10000,OrdernadoDescendente,26,365,60004,100000
Radix sort,10000,OrdernadoDescendente,27,356,60004,100000
Radix sort,10000,OrdernadoDescendente,28,353,60004,100000
Radix sort,10000,OrdernadoDescendente,29,350,60004,100000
Radix sort,10000,OrdernadoDescendente,30,354,60004,100000
